ticker,company,sector,sub_industry,cik
FLG,Flagstar Bank,Financials,Regional Banks,0000910073
FLR,Fluor,Industrials,Construction & Engineering,0001124198
FLS,Flowserve,Industrials,Industrial Machinery & Supplies & Components,0000030625
FN,Fabrinet,Information Technology,Electronic Manufacturing Services,0001408710
FNB,FNB Corporation,Financials,Regional Banks,0000037808
FND,Floor & Decor,Consumer Discretionary,Home Improvement Retail,0001507079
FNF,Fidelity National Financial,Financials,Property & Casualty Insurance,0001331875
FOUR,Shift4,Financials,Transaction & Payment Processing Services,0001794669
FR,First Industrial Realty Trust,Real Estate,Industrial REITs,0000921825
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,0001681459
G,Genpact,Industrials,Data Processing & Outsourced Services,0001398659
GAP,Gap Inc.,Consumer Discretionary,Apparel Retail,0000039911
GATX,GATX,Industrials,Construction Machinery & Heavy Transportation Equipment,0000040211
GBCI,Glacier Bancorp,Financials,Regional Banks,0000868671
GEF,"Greif, Inc.",Materials,"Metal, Glass & Plastic Containers",0000043920
GGG,Graco Inc.,Industrials,Industrial Machinery & Supplies & Components,0000042888
GHC,Graham Holdings,Consumer Discretionary,Education Services,0000104889
GLPI,Gaming and Leisure Properties,Real Estate,Other Specialized REITs,0001575965
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail,0001326380
GMED,Globus Medical,Health Care,Health Care Equipment,0001237831
GNTX,Gentex,Consumer Discretionary,Automotive Parts & Equipment,0000355811
GPK,Graphic Packaging,Materials,Paper & Plastic Packaging Products & Materials,0001408075
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,0000042582
GTLS,Chart Industries,Industrials,Industrial Machinery & Supplies & Components,0000892553
GWRE,Guidewire Software,Information Technology,Application Software,0001528396
GXO,GXO Logistics,Industrials,Air Freight & Logistics,0001852244
H,Hyatt,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001468174
HAE,Haemonetics,Health Care,Health Care Supplies,0000313143
HALO,Halozyme,Health Care,Biotechnology,0001159036
HGV,Hilton Grand Vacations,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001674168
HIMS,Hims & Hers Health,Health Care,Health Care Services,0001773751
HL,Hecla Mining,Materials,Silver,0000719413
HLI,Houlihan Lokey,Financials,Investment Banking & Brokerage,0001302215
HLNE,Hamilton Lane,Financials,Asset Management & Custody Banks,0001433642
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,0000793952
